,yyyymm,project,percent_3,download_count
24,2019-12,pytest-cases,53.3,10246
25,2019-12,decopatch,79.1,9330
26,2019-12,sficopaf,10.2,108
27,2019-12,parsyfiles,0.9,749
28,2019-12,getversion,6.2,834
29,2019-12,azmlclient,4.0,1251
30,2019-12,envswitch,2.3,826
31,2019-12,classtools-autocode,9.9,161
32,2019-12,pytest-pilot,3.4,149
33,2019-12,mini-lambda,11.3,1464
34,2019-12,nox,95.0,26271
35,2019-12,valid8,25.6,4291
36,2019-12,fprules,2.8,394
37,2019-12,autoclass,7.2,4170
38,2019-12,yamlable,2.9,1024
39,2019-12,spawny,1.5,677
40,2019-12,pyfields,25.6,3027
41,2019-12,click,70.6,20800653
42,2019-12,makefun,73.3,10920
43,2019-12,pyoad,7.5,106
44,2019-12,mixture,9.3,388
45,2019-12,pytest-harvest,25.2,2373
46,2019-12,tabulate,68.2,5438747
47,2019-12,pytest-steps,20.5,2540
48,2019-11,decopatch,75.4,9739
49,2019-11,mini-lambda,14.5,2147
50,2019-11,parsyfiles,0.4,777
51,2019-11,sficopaf,1.2,81
52,2019-11,makefun,69.2,11550
53,2019-11,autoclass,1.8,5837
54,2019-11,pyfields,20.1,3759
55,2019-11,spawny,1.1,1033
56,2019-11,classtools-autocode,3.3,123
57,2019-11,pytest-pilot,1.4,145
58,2019-11,pytest-cases,47.7,11085
59,2019-11,nox,92.3,21219
60,2019-11,fprules,0.8,767
61,2019-11,pyoad,0.0,83
62,2019-11,valid8,28.5,3982
63,2019-11,azmlclient,0.3,1417
64,2019-11,getversion,6.8,943
65,2019-11,pytest-harvest,26.1,3174
66,2019-11,yamlable,2.5,1431
67,2019-11,mixture,8.0,411
68,2019-11,envswitch,0.2,854
69,2019-11,click,69.3,19567463
70,2019-11,pytest-steps,17.8,3829
71,2019-11,tabulate,68.8,5426332
72,2019-10,spawny,1.1,1119
73,2019-10,decopatch,76.5,9940
74,2019-10,pyoad,0.0,108
75,2019-10,valid8,13.7,3814
76,2019-10,pytest-harvest,23.0,3785
77,2019-10,envswitch,0.0,1146
78,2019-10,click,73.9,18168871
79,2019-10,classtools-autocode,1.9,161
80,2019-10,getversion,2.1,1165
81,2019-10,parsyfiles,0.0,1036
82,2019-10,yamlable,1.6,1529
83,2019-10,pytest-cases,52.8,11890
84,2019-10,sficopaf,1.0,104
85,2019-10,pytest-pilot,1.9,573
86,2019-10,tabulate,53.2,7253595
87,2019-10,nox,92.4,15614
88,2019-10,mini-lambda,10.3,1631
89,2019-10,pyfields,4.1,4933
90,2019-10,mixture,4.9,487
91,2019-10,pytest-steps,17.8,4098
92,2019-10,azmlclient,0.5,1870
93,2019-10,makefun,70.3,11738
94,2019-10,fprules,0.3,357
95,2019-10,autoclass,3.4,5209
96,2019-09,getversion,3.1,1456
97,2019-09,click,74.0,17121833
98,2019-09,pytest-cases,45.6,7683
99,2019-09,pyoad,1.1,90
100,2019-09,yamlable,1.0,693
101,2019-09,pytest-harvest,20.8,1860
102,2019-09,envswitch,0.1,807
103,2019-09,autoclass,1.3,4259
104,2019-09,parsyfiles,0.4,734
105,2019-09,mixture,2.1,1514
106,2019-09,fprules,1.9,686
107,2019-09,tabulate,68.1,6362795
108,2019-09,azmlclient,0.9,1399
109,2019-09,decopatch,65.6,6669
110,2019-09,classtools-autocode,1.5,133
111,2019-09,pytest-steps,25.5,2179
112,2019-09,makefun,57.9,8426
113,2019-09,spawny,1.9,630
114,2019-09,nox,90.7,12851
115,2019-09,valid8,5.2,4436
116,2019-09,mini-lambda,6.9,1706
117,2019-09,sficopaf,1.2,85
118,2019-08,pytest-harvest,12.0,2831
119,2019-08,pytest-steps,4.9,3038
120,2019-08,fprules,1.7,587
121,2019-08,yamlable,3.2,874
122,2019-08,nox,87.4,11967
123,2019-08,autoclass,2.7,3638
124,2019-08,spawny,0.9,691
125,2019-08,mini-lambda,9.6,1405
126,2019-08,envswitch,1.4,1095
127,2019-08,azmlclient,1.1,1400
128,2019-08,decopatch,63.6,5862
129,2019-08,getversion,4.8,1881
130,2019-08,click,71.5,15675895
131,2019-08,pyoad,1.8,109
132,2019-08,valid8,10.1,2983
133,2019-08,classtools-autocode,3.5,173
134,2019-08,parsyfiles,0.2,962
135,2019-08,pytest-cases,33.0,8534
136,2019-08,makefun,47.3,8154
137,2019-08,tabulate,65.9,4880658
138,2019-08,sficopaf,1.9,106
139,2019-07,envswitch,1.8,1133
140,2019-07,parsyfiles,0.3,1132
141,2019-07,click,68.2,16141929
142,2019-07,pytest-steps,5.0,2533
143,2019-07,yamlable,5.6,1095
144,2019-07,pytest-harvest,14.7,2429
145,2019-07,valid8,10.0,2585
146,2019-07,pyoad,2.1,144
147,2019-07,makefun,48.1,5731
148,2019-07,getversion,1.6,2921
149,2019-07,tabulate,69.3,5761979
150,2019-07,nox,86.0,12264
151,2019-07,mini-lambda,7.7,1616
152,2019-07,pytest-cases,25.1,7664
153,2019-07,classtools-autocode,1.5,197
154,2019-07,azmlclient,1.9,2314
155,2019-07,sficopaf,2.1,141
156,2019-07,spawny,1.4,2053
157,2019-07,autoclass,2.1,4578
158,2019-07,decopatch,57.0,4850
159,2019-06,sficopaf,4.0,126
160,2019-06,azmlclient,0.6,1405
161,2019-06,pytest-steps,9.4,2784
